i play mahjong with my friends in hall very often and it messed up my sleep cycle alot, what should i do?	"["" ""]"
what are the advantages of sleep?	"["" ""]"
what should i eat to get better sleep?	"["" ""]"
what kinds of sleep disorders are there?	"["" ""]"
how do i prolong rem sleep?	"["" ""]"
is it bad to sleep on a full stomach? what about an empty stomach?	"["" ""]"
does mood or emotions affect sleep quality?	"["" ""]"
what is the cause of snoring?	"["" ""]"
i always wake up in the middle of the night feeling breathless, what is wrong with me?	"["" ""]"
is it okay to catch up on sleep debt over the weekends?	"["" ""]"
are there any types of food that can help improve quality of sleep?	"["" ""]"
i have read online that different colour coding of the bedroom can have different effects on sleep quality. is this true?	"["" ""]"
what is the recommended duration of an effective nap?	"["" ""]"
how do substances like nicotine affect my sleep?	"["" ""]"
i get hungry at night even if i have had a full dinner, so i sometimes eat chips before i go to bed. i read that eating before going to bed is bad for my sleep, so should i just go to bed hungry?	"["" ""]"
how do i know if i am in need of professional sleep therapy?	"["" ""]"
do we sleep better after exhausting our body more?	"["" ""]"
when should i avoid exercise for better sleep?	"["" ""]"
does weight affect sleep quality?	"["" ""]"
i grind my teeth during my sleep, why is that so?	"["" ""]"
how does sleep improve my short-term and long-term memory?	"["" ""]"
what type of yoga should i do before sleeping?	"["" ""]"
what really happens if i dont get the optimum number of sleep for a university student?	"["" ""]"
what are good sleep hygiene?	"["" ""]"
does the type or quality of mattress matter in obtaining a better sleeping experience?	"["" ""]"
does exercise help me sleep better?	"["" ""]"
what are the sleep stage	"["" ""]"
can i take multiple naps rather than sleeping through the night?	"["" ""]"
how do i get better sleep being a night owl?	"["" ""]"
what time should i stop drinking caffine for me to fall asleep better?	"["" ""]"
how do i encourage other people in my family to sleep better?	"["" ""]"
why do we need to sleep?	"["" ""]"
i often fall asleep at an inappropriate time, e.g. when attending lessons or meeting. it's embarrassing but how to solve this problem?	"["" ""]"
how can i prevent having nightmares?	"["" ""]"
does more dream mean worse sleep?	"["" ""]"
what is the ideal time for me to sleep and wake up for my age?	"["" ""]"
how many hours of sleep should an adult get?	"["" ""]"
how do weighted blankets affect my sleep?	"["" ""]"
what kind of tea is good to have a good quality of sleep?	"["" ""]"
how can i fall asleep more easily when i am stress about the tasks i need to complete the following day?	"["" ""]"
i am addicted to watching videos on my phone and as a result i procrastinate before i go to bed, what should i do to stop myself from looking at my phone so much?	"["" ""]"
can i make up sleep?	"["" ""]"
can i ever pay off my sleep debt	"["" ""]"
what is the best environmental temperature for sleep?	"["" ""]"
how important is sleep duration in contributing to sleep quality?	"["" ""]"
how do i have a longer sleep duration	"["" ""]"
what kind of sleep hygiene is best to have for a university student?	"["" ""]"
how to prevent snoring?	"["" ""]"
how can i improve my sleep quality?	"["" ""]"
does watching random videos help me to fall aspleep?	"["" ""]"
how much minimal duration of sleep do i need a day to function normally?	"["" ""]"
why do i snore so much and wake up multiple times feeling breathless?	"["" ""]"
do blue-light glasses really work in helping improve my sleep?	"["" ""]"
will drinking coffee affect my sleep?	"["" ""]"
can i eat heavy meals like rice and meat before going to bed?	"["" ""]"
should i take melatonin every day before i sleep?	"["" ""]"
how does alochol and smoking affect my sleeping behaviour?	"["" ""]"
why does alcohol change my sleep pattern?	"["" ""]"
how do i prevent myself from waking up too much in the night?	"["" ""]"
how useful is a smart alarm	"["" ""]"
what is the optimal duration of sleep?	"["" ""]"
is caffeine good for lost sleep?	"["" ""]"
is sleeping too much a bad thing?	"["" ""]"
how does sleep-walking work?	"["" ""]"
does drinking alcohol affect my sleep	"["" ""]"
which is more important - sleep duration or sleep quality?	"["" ""]"
how do the characteristics of my mattress, such as its size and softness, affect my sleep?	"["" ""]"
how does the hardness of the mattress affect sleep?	"["" ""]"
is there such thing as sleeping too much?	"["" ""]"
is it okay if i sleep at 3am but still clock 8 hours of sleep?	"["" ""]"
if i do take caffeinated products, when should i stop taking them if i want a good night's sleep?	"["" ""]"
when is the best time to take a nap during daytime?	"["" ""]"
i share a room with my siblings who are scared of the dark and insist on having a nightlight on throughout the whole night. to stop this, i've been covering my face with my blanket, but i read that this is actually bad for me as it makes it hard to breathe, but so far i have not felt any of such effects. should i change my behaviour, or can i keep doing this?	"["" ""]"
why do people talk in their sleep?	"["" ""]"
what are some warning signs of sleep deprivation?	"["" ""]"
do dreams have meaning?	"["" ""]"
what type of exercise should i do to sleep better?	"["" ""]"
is it alright to split 8h of sleep between sleeping at night and napping, for example 4h at night and 4h nap time?	"["" ""]"
will meditation before bed help me sleep better?	"["" ""]"
is sleeping less more beneficial?	"["" ""]"
do you think healthy device like fitbit useful to detect sleep hygiene and improve sleeping habits?	"["" ""]"
what should i do if i always play my phone before sleeping?	"["" ""]"
what is the optimal amount of sleep for an adult?	"["" ""]"
will higher or lower pillows affect our sleep quality?	"["" ""]"
is it ok for me to consume coffee at night even if it does not affect me from falling asleep?	"["" ""]"
how much sleep do students need	"["" ""]"
how many hours will it take for me to fall alseep after exercising usually?	"["" ""]"
