i play mahjong with my friends in hall very often and it messed up my sleep cycle alot, what should i do?	i was never told that sleep was important, was never encouraged to do it, and i was never educated on it. in fact, if i had behaved properly and if i'd have done well at school, i could stay up late at night to watch the midweek sport, so i was getting rewarded for losing sleep. and by the time i got to my teenage years, i was allowed to play in a band midweek until midnight. my dad was a former semi-pro musician, so i was encouraged to follow that, and i'd be the kid at the back of the class falling asleep.	play in a band
what are the advantages of sleep?	researchers also instructed them to hold an object and to report on their thoughts just before dropping the object, if they did so. during the second test after the break, some participants had what the researchers called a eureka moment and found a way to solve the problems faster and more accurately. participants who had reached only the first stage of sleep seemed to have a creative advantage: more than three-quarters (83%) of these participants discovered the shortcut to solving the math problems. only 30% of the participants who did not sleep identified the shortcut, and 14% of participants who slept more deeply discovered it.	creative advantage
what should i eat to get better sleep?	i can't imagine why that's not common practice in all universities. it should be absolutely spoon fed to children and university graduates, because it's a no-brainer. it's now proven that children who get better sleep get better results in exams. i approach health from all different angles, so i get people coming to me either for a specific health need or a global intervention. and it's interesting when you look at the things that are components of health. you can't get away from exercise, sleep, and food. and they all crossover and interconnect. when you look at the rise in obesity and the decrease in sleep, they're pretty much interlinked, too.	spoon fed
what kinds of sleep disorders are there?	tell them what kind of sleep issues you've been having, when they started, and how frequently you experience them. this information can help them prescribe an appropriate treatment plan to relieve your sleep issues. if your doctor recommends a sleep aid, always read the sleeping pill's medication guide to make sure you fully understand the risks and potential side effects. only take it as prescribed by your doctor, and only when you have time to get a full night's sleep to minimize side effects the next day. if you're consistently having trouble falling or staying asleep, talk to your doctor. behavior and lifestyle changes, in addition to cognitive behavioral therapy, can help. if an underlying issue is behind insomnia, be it a health condition or a sleep disorder, treating that can resolve or improve your insomnia.	insomnia
how do i prolong rem sleep?	while our family chose the amazon halo for our experiment, there are numerous sleep trackers available that are appropriate for kids, such as the garmin vivofit jr. 2 and fitbit ace 2 and 3. the data these trackers provide can offer a new perspective on your child's daily and nightly routines and sleep quality. do i vote for every child being constantly analyzed for data? certainly not. you have to do what makes you and your family comfortable. wearables can be a gentle, fun, non-invasive way of gaining insight into your child's inner workings. and, hey, now my daughter wakes up every morning and asks, can i check my sleep score?. how much sleep do babies and kids need? do your children get enough sleep? is your child getting enough sleep? here's how to tell.	can i check my sleep score
is it bad to sleep on a full stomach? what about an empty stomach?	not only is side sleeping preferred by 60% of adults, but it is also considered to be one of the healthiest sleep positions. side sleeping offers many benefits, from improved spinal alignment to a reduced risk of snoring, heartburn, and back pain. to unlock the full potential of these benefits, however, you need to get into just the right position. learn more about how to sleep on your side, which side you should choose, and what else to consider. many people live with chronic pain, especially in their lower back. sleeping in the wrong position, such as on your stomach, can increase the amount of pressure on your spine and lead to pain upon waking.	can increase the amount of pressure on your spine and lead to pain upon waking
does mood or emotions affect sleep quality?	sleep is essential to the well-being of children. not only does sleep support the overall health of the child, but it also affects a child's mood and his or her ability to learn during the daytime. a lack of sleep can have long-term impacts on a child's future academic performance and emotional health. as infants and children grow, the amount of daily sleep they need decreases. these sleep needs are initially distributed between naps and nighttime sleep, but at what age should kids stop napping? the exact age varies among children, depending on factors such as attending preschool, maturity, and nighttime sleep habits.	it also affects a child's mood
what is the cause of snoring?	almost everyone snores occasionally. habitual snoring occurs in around 40% of adult women and 57% of adult men, and some people snore regularly without any other sleep-related symptoms. however, snoring can be caused by a sleep disorder called sleep apnea, which disrupts sleep and can lead to other health issues. snoring may also be the result of a person's natural anatomy and weight, or behaviors such as drinking alcohol or sleeping in a certain position. understanding the varied causes of snoring can help you determine whether your snoring is something you should be concerned about, and what steps you can take to address it.	sleep apnea
i always wake up in the middle of the night feeling breathless, what is wrong with me?	so even if you think, my child has narcolepsy. i read this book that chris wrote, and by god, i need help. even if you're wrong, at least you're arming yourself with the understanding that the behavior that you witnessed when you were spending the night in a hotel room with your kid at the soccer tournament, and he kicked violently all through the night, is not normal. so it's okay for you to seek more information and understanding about sleepwalking, the crazy teeth grinding, the unusual vocalizations and screaming that happen at night. the same mentor who told me 99% of sleep problems are parent sleep problems, would always tell parents to never watch their kids sleep.	is not normal
is it okay to catch up on sleep debt over the weekends?	the size of your sleep debt determines how long it takes you to catch up on sleep. many people accumulate such a large sleep debt during the week that they would practically have to sleep all weekend to pay it back. when we fail to fully make up our sleep debt over the weekend, it carries over into the next workweek. interestingly, many people report feeling completely fine after a weekend of catching up on sleep, even though their bodies show markers of increased stress. researchers suggest that the lack of discomfort we feel after receiving catch-up sleep might explain why we keep relying on this age-old method despite its drawbacks.	when we fail to fully make up our sleep debt over the weekend
